epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.923,1.49766,0.87283,1.1159,0.86452,0.81973,0.88247,0.52556,1.37739,0.71797,1.08084,0.000665693,0.000665693,0.000665693
2,204.96,1.39919,0.70666,1.05691,0.87629,0.82736,0.89017,0.53685,1.36589,0.67961,1.07143,0.00132875,0.00132875,0.00132875
3,292.486,1.3877,0.68799,1.05086,0.88643,0.84042,0.89912,0.54661,1.36074,0.65783,1.0638,0.0019774,0.0019774,0.0019774
4,380.161,1.37151,0.67413,1.045,0.89591,0.84464,0.91245,0.55681,1.33741,0.63928,1.05832,0.00195155,0.00195155,0.00195155
5,467.273,1.35744,0.65468,1.04106,0.89473,0.85033,0.91607,0.56244,1.3258,0.62444,1.05577,0.00191441,0.00191441,0.00191441
6,554.879,1.34563,0.6424,1.03273,0.89521,0.85753,0.92025,0.57056,1.31348,0.61704,1.04658,0.00186737,0.00186737,0.00186737
7,642.003,1.34205,0.63463,1.03024,0.89897,0.85823,0.92094,0.56902,1.31233,0.60907,1.04295,0.00181093,0.00181093,0.00181093
8,729.238,1.3353,0.62267,1.02776,0.90601,0.85928,0.92232,0.57463,1.30651,0.58866,1.04717,0.00174571,0.00174571,0.00174571
9,816.101,1.32745,0.61493,1.02366,0.90167,0.86851,0.92887,0.58034,1.29636,0.57976,1.04446,0.00167244,0.00167244,0.00167244
10,903.37,1.32261,0.60845,1.02249,0.90535,0.86533,0.92746,0.57907,1.29845,0.58257,1.04633,0.00159191,0.00159191,0.00159191
11,990.441,1.31749,0.60229,1.01983,0.90605,0.86797,0.9308,0.58107,1.29867,0.57566,1.03899,0.001505,0.001505,0.001505
12,1078.18,1.3132,0.59921,1.01657,0.90372,0.87452,0.9293,0.58283,1.29344,0.57236,1.03975,0.00141267,0.00141267,0.00141267
13,1165.34,1.30578,0.58923,1.01577,0.90789,0.8733,0.93189,0.58422,1.2898,0.56522,1.04035,0.00131593,0.00131593,0.00131593
14,1252.65,1.31065,0.58875,1.01615,0.91119,0.87106,0.93271,0.58472,1.28971,0.56179,1.0372,0.00121583,0.00121583,0.00121583
15,1340.11,1.29976,0.58064,1.01036,0.90952,0.87283,0.93315,0.58488,1.28835,0.55979,1.03741,0.00111348,0.00111348,0.00111348
16,1427.11,1.29938,0.57712,1.01167,0.90786,0.87749,0.93216,0.58692,1.28574,0.55425,1.03804,0.00101,0.00101,0.00101
17,1514.54,1.29042,0.57009,1.00714,0.90486,0.87613,0.9321,0.58688,1.28228,0.55518,1.03496,0.000906517,0.000906517,0.000906517
18,1601.62,1.28775,0.56605,1.0055,0.90763,0.87713,0.93294,0.58635,1.28414,0.55422,1.03156,0.000804167,0.000804167,0.000804167
19,1688.66,1.287,0.56206,1.00673,0.90668,0.87891,0.93424,0.58945,1.28233,0.54722,1.03554,0.000704073,0.000704073,0.000704073
20,1775.97,1.28249,0.55774,1.0058,0.90892,0.88204,0.93587,0.59186,1.27857,0.54106,1.03517,0.000607331,0.000607331,0.000607331
21,1853.05,1.28009,0.55644,1.02774,0.9085,0.88028,0.93486,0.58969,1.28017,0.54634,1.03702,0.000515,0.000515,0.000515
22,1926.71,1.27466,0.54936,1.02674,0.9073,0.87746,0.93604,0.58965,1.27866,0.54432,1.03642,0.000428093,0.000428093,0.000428093
23,1999.77,1.26939,0.54198,1.02429,0.91243,0.88473,0.93761,0.59207,1.27734,0.53575,1.03664,0.000347561,0.000347561,0.000347561
24,2073.26,1.26503,0.53712,1.02091,0.91089,0.88606,0.9375,0.59279,1.27509,0.53217,1.03337,0.000274287,0.000274287,0.000274287
25,2146.54,1.26311,0.53195,1.01931,0.91452,0.88488,0.93745,0.59329,1.27315,0.53063,1.03426,0.000209073,0.000209073,0.000209073
26,2220.22,1.25885,0.52896,1.01947,0.91355,0.88692,0.93829,0.5947,1.27346,0.52684,1.0354,0.000152635,0.000152635,0.000152635
27,2293.92,1.25646,0.5244,1.01772,0.9152,0.88654,0.93857,0.59486,1.27407,0.52699,1.03416,0.00010559,0.00010559,0.00010559
28,2367.56,1.25418,0.52136,1.01811,0.91429,0.88759,0.93785,0.59464,1.27248,0.52594,1.03386,6.8454e-05,6.8454e-05,6.8454e-05
29,2440.89,1.25353,0.5205,1.01626,0.91556,0.88618,0.93801,0.59522,1.2722,0.52438,1.03339,4.16339e-05,4.16339e-05,4.16339e-05
30,2514.11,1.25064,0.5188,1.01563,0.916,0.88567,0.9381,0.59516,1.27257,0.52451,1.03232,2.54233e-05,2.54233e-05,2.54233e-05
